,Time,Potential
463,4.63,-0.21083665351234723
464,4.64,-0.21403193400600848
465,4.65,-0.21711265365853982
466,4.66,-0.22007689400304195
467,4.67,-0.22292297694768565
468,4.68,-0.2256494418262818
469,4.69,-0.2282550453634954
470,4.7,-0.2307387735569449
471,4.71,-0.23309983777075238
472,4.72,-0.23533765507235585
473,4.73,-0.23745184030812738
474,4.74,-0.23944220743531702
475,4.75,-0.24130876677751778
476,4.76,-0.24305171286249586
477,4.7700000000000005,-0.2446714160264406
478,4.78,-0.24616841942664824
479,4.79,-0.24754343171888762
480,4.8,-0.24879731446277606
481,4.8100000000000005,-0.24993107581057594
482,4.82,-0.25094586916954587
483,4.83,-0.2518429885788799
484,4.84,-0.2526238554492251
485,4.8500000000000005,-0.2532900013656072
486,4.86,-0.2538430663288838
487,4.87,-0.25428480243856366
488,4.88,-0.25461706919348603
489,4.89,-0.254841815845972
490,4.9,-0.2549610653165606
491,4.91,-0.25497691538781725
492,4.92,-0.2548915381760619
493,4.93,-0.25470717419472605
494,4.94,-0.2544261231991843
495,4.95,-0.25405073059236793
496,4.96,-0.2535833826796087
497,4.97,-0.25302650709091
498,4.98,-0.2523825691439861
499,4.99,-0.2516540642039164
500,5.0,-0.2508435066712955
501,5.01,-0.24995342658315214
502,5.0200000000000005,-0.24898636778741717
503,5.03,-0.24794488229512895
504,5.04,-0.2468315262704254
505,5.05,-0.24564885495961983
506,5.0600000000000005,-0.24439941863302814
507,5.07,-0.24308575887944106
508,5.08,-0.24171040460593915
509,5.09,-0.24027586907281548
510,5.1000000000000005,-0.23878464638884725
511,5.11,-0.23723920940864424
512,5.12,-0.23564200670315769
513,5.13,-0.23399545818259446
514,5.14,-0.23230195274295626
515,5.15,-0.2305638468941848
516,5.16,-0.22878346431820945
517,5.17,-0.22696309330919653
518,5.18,-0.2251049829020688
519,5.19,-0.2232113409222499
520,5.2,-0.2212843318755452
521,5.21,-0.2193260798237575
522,5.22,-0.2173386704226468
523,5.23,-0.2153241446833878
524,5.24,-0.2132844946074643
525,5.25,-0.21122166256266647
526,5.26,-0.20913754099706713
527,5.2700000000000005,-0.20703397590611905
528,5.28,-0.20491277232425464
529,5.29,-0.2027756906815985
530,5.3,-0.20062444014493044
531,5.3100000000000005,-0.19846067755916588
532,5.32,-0.19628600747563346
533,5.33,-0.19410198362419284
534,5.34,-0.19191011587354428
535,5.3500000000000005,-0.18971187267188525
536,5.36,-0.18750867485199382
537,5.37,-0.1853018925434632
538,5.38,-0.18309284539971074
539,5.39,-0.18088280306321436
540,5.4,-0.17867298866440265
541,5.41,-0.17646458569145118
542,5.42,-0.17425873720777477
543,5.43,-0.1720565404200531
544,5.44,-0.1698590459310549
545,5.45,-0.1676672582943732
546,5.46,-0.16548213716995766
547,5.47,-0.16330460300112942
548,5.48,-0.16113554127457744
549,5.49,-0.1589757991320161
550,5.5,-0.1568261827449786
551,5.51,-0.15468745786087282
552,5.5200000000000005,-0.15256035046177227
553,5.53,-0.15044554883945455
554,5.54,-0.14834370908843145
555,5.55,-0.14625545646001958
556,5.5600000000000005,-0.1441813821669563
557,5.57,-0.14212204291597613
558,5.58,-0.14007796158717128
559,5.59,-0.13804962801120235
560,5.6000000000000005,-0.13603750204680234
561,5.61,-0.13404201754006048
562,5.62,-0.13206358163457962
563,5.63,-0.13010257300770245
564,5.64,-0.12815934243441893
565,5.65,-0.12623421341244223
566,5.66,-0.12432748317894815
567,5.67,-0.1224394259862243
568,5.68,-0.12057029505664157
569,5.69,-0.11872032136849775
570,5.7,-0.11688971340628629
571,5.71,-0.11507865779953015
572,5.72,-0.11328731987486511
573,5.73,-0.11151584477136453
574,5.74,-0.10976436013850005
575,5.75,-0.10803297744663637
576,5.76,-0.10632179113783491
577,5.7700000000000005,-0.10463087854751503
578,5.78,-0.10296030036979753
579,5.79,-0.10131010112576538
580,5.8,-0.09968030966986774
581,5.8100000000000005,-0.09807094186489008
582,5.82,-0.09648200244992602
583,5.83,-0.09491348151672752
584,5.84,-0.09336535490322768
585,5.8500000000000005,-0.09183758799076257
586,5.86,-0.09033013629654768
587,5.87,-0.08884294577562492
588,5.88,-0.08737595311551898
589,5.89,-0.08592908544773888
590,5.9,-0.08450225881287322
591,5.91,-0.08309537884302531
592,5.92,-0.08170834343213818
593,5.93,-0.08034104376268301
594,5.94,-0.07899336455234174
595,5.95,-0.07766518428984269
596,5.96,-0.07635637547091974
597,5.97,-0.0750668047391052
598,5.98,-0.0737963319009465
599,5.99,-0.0725448097218519
600,6.0,-0.07131208592504591
601,6.01,-0.07009800452950257
602,6.0200000000000005,-0.0689024060674512
603,6.03,-0.06772512774580883
604,6.04,-0.06656600359443175
605,6.05,-0.06542486390896664
606,6.0600000000000005,-0.06430153441579291
607,6.07,-0.06319583764132224
608,6.08,-0.06210759422682408
609,6.09,-0.06103662268681651
610,6.1000000000000005,-0.059982739486849
611,6.11,-0.05894575917626877
612,6.12,-0.05792549452163018
613,6.13,-0.05692175680923816
614,6.140000000000001,-0.055934356126950656
615,6.15,-0.05496310133501262
616,6.16,-0.05400780033110443
617,6.17,-0.05306826045652759
618,6.18,-0.05214428860546857
619,6.19,-0.051235691308564126
620,6.2,-0.050342274815427794
621,6.21,-0.0494638452169014
622,6.22,-0.048600208556202125
623,6.23,-0.04775117094645122
624,6.24,-0.04691653881437058
625,6.25,-0.04609611909055558
626,6.26,-0.04528971926891785
627,6.2700000000000005,-0.04449714745658602
628,6.28,-0.0437182124232964
629,6.29,-0.04295272370145166
630,6.3,-0.042200491709158496
631,6.3100000000000005,-0.04146132781353007
632,6.32,-0.04073504444969093
633,6.33,-0.04002145524360247
634,6.34,-0.0393203750445529
635,6.3500000000000005,-0.03863161994988647
636,6.36,-0.037955007329792706
637,6.37,-0.03729035591151608
638,6.38,-0.03663748588114093
639,6.390000000000001,-0.03599621888102079
640,6.4,-0.03536637806933025
641,6.41,-0.034747788222584126
642,6.42,-0.03414027574968782
643,6.43,-0.03354366869800413
644,6.44,-0.0329577967598245
645,6.45,-0.0323824913292256
646,6.46,-0.03181758554196889
647,6.47,-0.03126291422960338
648,6.48,-0.030718313984325882
649,6.49,-0.03018362326001592
650,6.5,-0.029658682372733808
651,6.51,-0.029143333493218345
652,6.5200000000000005,-0.028637420639112898
653,6.53,-0.028140789666915855
654,6.54,-0.027653288263660588
655,6.55,-0.02717476593837558
656,6.5600000000000005,-0.026705074030688038
657,6.57,-0.026244065795999943
658,6.58,-0.02579159646785353
659,6.59,-0.025347523216716385
660,6.6000000000000005,-0.02491170510978541
661,6.61,-0.024484003094654504
662,6.62,-0.024064279983688645
663,6.63,-0.023652400438344424
664,6.640000000000001,-0.023248230953435117
665,6.65,-0.022851639841344036
666,6.66,-0.0224624972199684
667,6.67,-0.02208067510538755
668,6.68,-0.021706047503447286
669,6.69,-0.021338490285055786
670,6.7,-0.020977881108493714
671,6.71,-0.02062409945365188
672,6.72,-0.02027702660469944
673,6.73,-0.019936545629514517
674,6.74,-0.019602541359238754
675,6.75,-0.019274900367957218
676,6.76,-0.018953510952498948
677,6.7700000000000005,-0.018638263113331447
678,6.78,-0.018329048571383007
679,6.79,-0.018025760831379682
680,6.8,-0.01772829516199596
681,6.8100000000000005,-0.01743654851504535
682,6.82,-0.017150419490930404
683,6.83,-0.016869808317361096
684,6.84,-0.01659461682824982
685,6.8500000000000005,-0.016324748442802524
686,6.86,-0.0160601081448048
687,6.87,-0.015800602462099373
688,6.88,-0.015546139450513174
689,6.890000000000001,-0.015296628746662365
690,6.9,-0.015051981608592956
691,6.91,-0.014812110828000258
692,6.92,-0.014576930663882447
693,6.93,-0.014346356836031759
694,6.94,-0.014120306504824215
695,6.95,-0.013898698250733432
696,6.96,-0.013681452054086355
697,6.97,-0.013468489275061958
698,6.98,-0.013259732633930169
699,6.99,-0.013055106195296925
700,7.0,-0.012854535398899618
701,7.01,-0.012657947073805938
702,7.0200000000000005,-0.012465269372707241
703,7.03,-0.012276431726818273
704,7.04,-0.012091364834676191
705,7.05,-0.011910000643337998
706,7.0600000000000005,-0.01173227232967192
707,7.07,-0.011558114281907414
708,7.08,-0.011387462081438605
709,7.09,-0.011220252484880379
710,7.1000000000000005,-0.01105642340827454
711,7.11,-0.010895913937037404
712,7.12,-0.010738664338401658
713,7.13,-0.010584616023111566
714,7.140000000000001,-0.010433711501121715
715,7.15,-0.010285894362868413
716,7.16,-0.010141109262761235
717,7.17,-0.009999301902908375
718,7.18,-0.009860419017089008
719,7.19,-0.009724408354969644
720,7.2,-0.009591218666560273
721,7.21,-0.009460799691367632
722,7.22,-0.009333102178127396
723,7.23,-0.00920807787782626
724,7.24,-0.009085679493766837
725,7.25,-0.008965860658814918
726,7.26,-0.008848575925816834
727,7.2700000000000005,-0.008733780753446305
728,7.28,-0.008621431492275676
729,7.29,-0.008511485371081534
730,7.3,-0.008403900483381762
731,7.3100000000000005,-0.008298635774202751
732,7.32,-0.00819565102851457
733,7.33,-0.008094906872688436
734,7.34,-0.007996364772971902
735,7.3500000000000005,-0.007899987010191291
736,7.36,-0.007805736655666993
737,7.37,-0.00771357755855284
738,7.38,-0.0076234743341345125
739,7.390000000000001,-0.007535392352343784
740,7.4,-0.007449297726484295
741,7.41,-0.007365157302167644
742,7.42,-0.007282938646458585
743,7.43,-0.007202610024815081
744,7.44,-0.007124140375648937
745,7.45,-0.007047499381449573
746,7.46,-0.0069726574846152535
747,7.47,-0.006899585803687082
748,7.48,-0.00682825610738495
749,7.49,-0.006758640805466959
750,7.5,-0.006690712939768948
751,7.51,-0.006624446175421361
752,7.5200000000000005,-0.006559814792242327
753,7.53,-0.0064967936763059364
754,7.54,-0.006435358311683259
755,7.55,-0.006375484772354988
756,7.5600000000000005,-0.006317149714294596
757,7.57,-0.006260330374511872
758,7.58,-0.0062050046244662245
759,7.59,-0.006151150967987914
760,7.6000000000000005,-0.0060987484605002935
761,7.61,-0.006047776691951358
762,7.62,-0.005998215794935603
763,7.63,-0.005950046438039082
764,7.640000000000001,-0.005903249819240573
765,7.65,-0.005857807659479955
766,7.66,-0.005813702196391891
767,7.67,-0.005770916178203568
768,7.68,-0.005729432857795607
769,7.69,-0.005689235986924457
770,7.7,-0.005650309810605352
771,7.71,-0.005612639061818258
772,7.72,-0.005576208964257084
773,7.73,-0.00554100524673307
774,7.74,-0.00550701413457663
775,7.75,-0.005474222324115602
776,7.76,-0.005442616972536313
777,7.7700000000000005,-0.005412185693400985
778,7.78,-0.005382916552356519
779,7.79,-0.005354798062992312
780,7.8,-0.005327819182845972
781,7.8100000000000005,-0.005301969309556259
782,7.82,-0.005277238277162373
783,7.83,-0.0052536163525488235
784,7.84,-0.0052310942320350886
785,7.8500000000000005,-0.005209663038271234
786,7.86,-0.005189314328962296
787,7.87,-0.005170040112739814
788,7.88,-0.005151832829273183
789,7.890000000000001,-0.00513468532734701
790,7.9,-0.00511859086824859
791,7.91,-0.005103543124368077
792,7.92,-0.005089536176963864
793,7.930000000000001,-0.005076564514070063
794,7.94,-0.005064623028545255
795,7.95,-0.005053707016262523
796,7.96,-0.0050438121744399616
797,7.97,-0.0050349346001116605
798,7.98,-0.005027070788738638
799,7.99,-0.005020217632962369
800,8.0,-0.005014372425128174
801,8.01,-0.005009532866956386
802,8.02,-0.005005697062047056
803,8.03,-0.005002863503788849
804,8.040000000000001,-0.005001031078424789
805,8.05,-0.005000199065999324
806,8.06,-0.005000367140102474
807,8.07,-0.005001535367754263
808,8.08,-0.0050037042094291445
809,8.09,-0.005006874519220513
810,8.1,-0.005011047545145417
811,8.11,-0.005016224929589409
812,8.120000000000001,-0.005022408709891741
813,8.13,-0.005029601319070953
814,8.14,-0.005037805585505578
815,8.15,-0.005047024731113302
816,8.16,-0.005057262383750014
817,8.17,-0.005068522584288335
818,8.18,-0.0050808097773763945
819,8.19,-0.005094128809458769
820,8.2,-0.005108484930496106
821,8.21,-0.005123883795828681
822,8.22,-0.005140331468181134
823,8.23,-0.0051578344198086315
824,8.24,-0.005176399534784935
825,8.25,-0.005196034111432885
826,8.26,-0.005216745864897874
827,8.27,-0.005238542929864879
828,8.28,-0.005261433864466571
829,8.290000000000001,-0.005285427666713734
830,8.3,-0.005310533779043314
831,8.31,-0.005336762073443186
832,8.32,-0.005364122854054991
833,8.33,-0.0053926268672642485
834,8.34,-0.005422285305640819
835,8.35,-0.005453109811900947
836,8.36,-0.005485112483024089
