time,x1,x2,y1,y2
6.41,0.766019076,0.498555054,-0.766019076,-0.498555054
6.42,0.767317312,0.496530494,-0.767317312,-0.496530494
6.43,0.768601561,0.494496884,-0.768601561,-0.494496884
6.44,0.769871799,0.492454259,-0.769871799,-0.492454259
6.45,0.771128001,0.490402657,-0.771128001,-0.490402657
6.46,0.772370143,0.488342112,-0.772370143,-0.488342112
6.47,0.773598199,0.486272661,-0.773598199,-0.486272661
6.48,0.774812136,0.484194335,-0.774812136,-0.484194335
6.49,0.776011919,0.482107163,-0.776011919,-0.482107163
6.5,0.777197513,0.480011177,-0.777197513,-0.480011177
6.51,0.778368883,0.477906406,-0.778368883,-0.477906406
6.52,0.779525995,0.475792881,-0.779525995,-0.475792881
6.53,0.780668812,0.473670632,-0.780668812,-0.473670632
6.54,0.7817973,0.471539688,-0.7817973,-0.471539688
6.55,0.782911425,0.469400082,-0.782911425,-0.469400082
6.56,0.78401115,0.467251842,-0.78401115,-0.467251842
6.57,0.785096441,0.465094999,-0.785096441,-0.465094999
6.58,0.78616726,0.462929582,-0.78616726,-0.462929582
6.59,0.78722356,0.460755614,-0.78722356,-0.460755614
