t,x1,y1,x2,y2,x3,y3
3.94,1.198892765,1.254582287,-1.628162986,0.019299551,0.429270221,-1.273881838
3.95,1.196994984,1.257102288,-1.625860732,0.021127402,0.428865748,-1.27822969
3.96,1.195083425,1.259604427,-1.623534531,0.022950435,0.428451107,-1.282554862
3.97,1.193158103,1.262088744,-1.621184399,0.024768633,0.428026297,-1.286857377
3.98,1.191219033,1.264555277,-1.618810352,0.026581984,0.427591319,-1.291137261
3.99,1.189266232,1.267004064,-1.616412406,0.028390472,0.427146173,-1.295394536
4,1.187299716,1.269435146,-1.613990576,0.030194084,0.42669086,-1.299629229
4.01,1.1853195,1.27184856,-1.611544878,0.031992804,0.426225379,-1.303841364
4.02,1.1833256,1.274244345,-1.60907533,0.033786619,0.425749731,-1.308030964
4.03,1.181318029,1.276622539,-1.606581946,0.035575515,0.425263917,-1.312198053
4.04,1.179296796,1.27898317,-1.604064734,0.037359479,0.424767939,-1.316342649
4.05,1.177261908,1.281326269,-1.601523707,0.039138499,0.424261799,-1.320464768
4.06,1.175213374,1.283651867,-1.598958875,0.040912562,0.4237455,-1.324564429
4.07,1.173151203,1.285959994,-1.596370247,0.042681656,0.423219044,-1.32864165
4.08,1.171075402,1.28825068,-1.593757834,0.044445769,0.422682432,-1.332696448
4.09,1.168985979,1.290523955,-1.591121646,0.046204887,0.422135667,-1.336728842
4.1,1.166882943,1.292779851,-1.588461695,0.047958998,0.421578751,-1.340738849
4.11,1.164766303,1.295018397,-1.58577799,0.049708091,0.421011687,-1.344726487
4.12,1.162636065,1.297239623,-1.583070541,0.051452151,0.420434476,-1.348691774
4.13,1.160492239,1.29944356,-1.580339359,0.053191168,0.41984712,-1.352634728
4.14,1.158334831,1.301630236,-1.577584453,0.054925128,0.419249623,-1.356555364
4.15,1.15616384,1.303799672,-1.574805827,0.056654022,0.418641988,-1.360453693
4.16,1.153979266,1.305951889,-1.572003485,0.058377838,0.418024219,-1.364329727
4.17,1.15178111,1.308086907,-1.56917743,0.060096567,0.41739632,-1.368183474
4.18,1.149569373,1.310204749,-1.566327667,0.061810197,0.416758294,-1.372014947
4.19,1.147344053,1.312305435,-1.563454199,0.063518719,0.416110146,-1.375824154
4.2,1.14510515,1.314388986,-1.56055703,0.065222122,0.415451879,-1.379611108
4.21,1.142852666,1.316455423,-1.557636164,0.066920395,0.414783497,-1.383375819
4.22,1.1405866,1.318504767,-1.554691604,0.068613529,0.414105004,-1.387118296
4.23,1.138306952,1.320537039,-1.551723355,0.070301512,0.413416403,-1.390838551
4.24,1.136013722,1.32255226,-1.548731421,0.071984334,0.412717699,-1.394536594
4.25,1.13370691,1.324550451,-1.545715805,0.073661984,0.412008895,-1.398212436
